FOC1,FOC2,FOC3
677.6300049,1202.310059,1130.52002
753.3099976,1132.219971,1154.02002
693.8699951,1223.189941,1130.52002
699.0900269,1144.02002,1146.52002
705.7800293,1171.829956,1170.52002
707.2700195,1251.329956,1162.52002
707.1099854,1183.430054,1122.02002
381.4500122,1234.699951,1134.27002
699.5800171,1225.829956,1186.02002
678.75,1227.459961,1166.27002
698.0300293,1170.040039,1146.52002
693.6500244,1176.5,1098.52002
689.460022,1195.73999,1146.52002
699.6699829,1249.52002,1090.52002
679.3400269,1196.25,1098.52002
687.8900146,1244.880005,1122.52002
685.2999878,1200.170044,1106.52002
676.6900024,1191.800049,1086.27002
680.9000244,1196.900024,1083.030029
685.0300293,1200.780029,943.3900146
712.4000244,1292.660034,1118.780029
702.7800293,1231.72998,1130.52002
699.7199707,1225.939941,1094.780029
948.9199829,1184.48999,1110.780029
945.1799927,1175.420044,1106.52002
940.7600098,1187.939941,1090.52002
936.8800049,1215.469971,1094.27002
932.5100098,1220.829956,1102.27002
948.1099854,1176.410034,1094.27002
951.3699951,1241.650024,1114.02002
965.4000244,1271.670044,1122.52002
941.8699951,1227.420044,1110.27002
959.9000244,1169.089966,1082.52002
943.1199951,1070.689941,1110.27002
945.710022,1035.420044,1102.27002
944.1199951,1035.109985,1118.27002
938.1799927,1017.719971,1114.52002
950.9799805,1031.51001,1078.27002
936.039978,1047.040039,1110.27002
942.2399902,457.4599915,1098.02002
928.0800171,467.4400024,1106.02002
936.289978,488.3999939,1114.52002
905.9000244,468.0899963,1106.02002
704.9699707,480.980011,1110.27002
722.0100098,473.3699951,1118.27002
872.4099731,774.1400146,1098.52002
1032.76001,801.039978,1106.02002
1195.130005,850.4699707,1114.02002
1220.290039,1196.76001,1126.27002
1228.459961,1181.550049,1142.27002
1208.449951,942.9099731,1118.27002
1214.969971,1132.109985,1166.27002
1192.189941,1090.869995,1186.02002
1192.319946,451.6099854,1150.27002
1160.25,780.25,1174.27002
1130.560059,879.2700195,1130.52002
1139.76001,497.1300049,1106.52002
1149.48999,697.7700195,1130.02002
1121.339966,774.6300049,1110.27002
1129.430054,942.6799927,1126.27002
1120.040039,1155.130005,1130.02002
1131.329956,1172.589966,1106.02002
1133.420044,1188.420044,1146.02002
1131.150024,1217.560059,1114.02002
1143.839966,1065.869995,1149.77002
1124.680054,1214.859985,1114.02002
1112.949951,1217.5,1106.02002
1135.319946,1205.900024,1110.27002
1140.640015,1149.030029,1142.27002
1122.349976,1196.069946,1114.02002
1124.5,1199.98999,1114.02002
1131.219971,1206.119995,1106.02002
1141.48999,1203.530029,1134.27002
1123.680054,1202.810059,1122.02002
1118.22998,1212.199951,1130.02002
1125.140015,1234.52002,1114.02002
1136.910034,1193.689941,1098.02002
1122.73999,1208.449951,1130.02002
1132.160034,1193.170044,1165.77002
1123.109985,1203.459961,1158.27002
1141.380005,1222.790039,1134.27002
1123.109985,1205.810059,1098.02002
1124.219971,1179.219971,1142.27002
1123.02002,1213.47998,1130.02002
1110.859985,1213.310059,1178.02002
1119.98999,1215.469971,1166.27002
1112.01001,1204.390015,1098.02002
1106.150024,1200.380005,1117.77002
1127.359985,1216.880005,1094.27002
1117.22998,1201.72998,1102.27002
718.0200195,1196.349976,1094.27002
716.3099976,1213.939941,1106.02002
719.1599731,1199.689941,1093.77002
700.25,1186.670044,1086.27002
716.8300171,1204.569946,1130.02002
703.2800293,1215.52002,1158.27002
702.2299805,1207.890015,1138.02002
692.7399902,1179.069946,1110.27002
734.6699829,1196.390015,1054.27002
842.8099976,1178.189941,1110.27002
840.2700195,1186.959961,1118.27002
840.9199829,1204.329956,1170.02002
702.25,1191.709961,1122.02002
705.6400146,1191.290039,1138.02002
700.2299805,1205.219971,1094.27002
824.0200195,1201.319946,1085.77002
831.3099976,1201.949951,1118.27002
918.5999756,1176.339966,1086.27002
1153.540039,1193.72998,1162.02002
1142.300049,1185.540039,1142.27002
1151.23999,1175.599976,1158.27002
1138,1189.109985,1078.27002
1156.27002,1187.5,1046.27002
1139.75,1183.430054,1090.02002
1143.26001,1169.949951,1122.02002
1125.25,1176.300049,1122.02002
1114.02002,1183.189941,1102.27002
1138.329956,1168.48999,1058.02002
1144.630005,1171.540039,1074.02002
1157.290039,1168.27002,1070.27002
1144.280029,1191.839966,1102.27002
1140.449951,1152.280029,1138.02002
1145.77002,1172.140015,1186.02002
1130.050049,1177.339966,1062.27002
1135.709961,1199.099976,1190.27002
1153.630005,1187.189941,1110.27002
1146.290039,1190.359985,1070.27002
1140.400024,1176.339966,1070.27002
1142.880005,1178.579956,1166.27002
1128.390015,1187.609985,1054.27002
1165.540039,1168.380005,1062.27002
1155.27002,1169.650024,1110.27002
1128.780029,1169.540039,1090.02002
1146.27002,1169.439941,1122.02002
1155.660034,1176.359985,1086.27002
1133.079956,1179.630005,1094.27002
1140.51001,1197.530029,1098.02002
1134.819946,1222.880005,1110.27002
1155.810059,1180.680054,1082.52002
1136.73999,1202.109985,1070.27002
1139.589966,1197.01001,1114.52002
1139.719971,1159.339966,1058.52002
1143.670044,1174.099976,1050.52002
1155.719971,1206.290039,1090.52002
1158.170044,1202.73999,1102.27002
1139.680054,1237.969971,1082.52002
1140.27002,1196.699951,1086.27002
1138.719971,1202.810059,1098.02002
1135.300049,1204.310059,1034.52002
1128.670044,1231.780029,1021.26001
1124.619995,1170.349976,1046.27002
1184.02002,1209.040039,1026.52002
1164.689941,1214.98999,1015.140015
1175.76001,1193.52002,1078.780029
1168.890015,1190.01001,1038.27002
1167.150024,1194.420044,1023.140015
897.7700195,1176.699951,1042.52002
900.5800171,1152.579956,1070.27002
880.1099854,1185.02002,1050.02002
